id,name,relationship,relative,relativename
Q108281858,Charlotte von Essen,spouse,Q39160642,Ulrik von Essen
Q1232072,Jan O. Karlsson,child,Q5901962,Peder Karlsson
Q1232072,Jan O. Karlsson,father,Q5901426,Hans Karlsson
Q129454,Peter Egardt,mother,Q16594631,Brita Egardt
Q1357206,Gunnar Hökmark,father,Q5821186,Gösta Hökmark
Q1357206,Gunnar Hökmark,spouse,Q4956643,Isabella Hökmark
Q16633060,Gunnar Holmgren,spouse,Q4945934,Ingrid Eiken
Q1780398,Ulf Kristersson,spouse,Q4945658,Birgitta Ed
Q18177071,Åsa Regnér,spouse,Q18245295,Håkan Regnér
Q18202361,Sofia Fölster,father,Q5748358,Stefan Fölster
Q182050,Anders Borg,spouse,Q2587680,Dominika Peczynski
Q18243853,Rasmus Ling,sibling,Q65197476,David Ling
Q18649282,Johanna Jönsson,spouse,Q63344500,Niels Paarup-Petersen
Q2029704,Jonas Sjöstedt,spouse,Q82459143,Ann Måwe
Q20560471,Malena Mård,child,Q177232,son
Q20652801,Magnus Ek,mother,Q535342,Lena Ek
Q20652801,Magnus Ek,sibling,Q100324313,Jenny Elander Ek
Q208591,Anna Lindh,father,Q16633216,Staffan Lindh
Q208591,Anna Lindh,spouse,Q887398,Bo Holmberg
Q231413,Mona Sahlin,father,Q5554706,Hans Andersson
Q231413,Mona Sahlin,sibling,Q30106598,Jan Andersson
Q231413,Mona Sahlin,spouse,Q6088436,Bo Sahlin
Q241208,Isabella Lövin,father,Q5970029,Björn Lövin
Q241851,Nyamko Sabuni,relative,Q84852578,Fatima Doubakil
Q241851,Nyamko Sabuni,sibling,Q18245578,Kitimbwa Sabuni
Q24303858,Lars K. Beckman,father,Q16649052,Nils Beckman
Q271230,Åsa Romson,sibling,Q6077976,Lukas Romson
Q2740012,Stefan Löfven,father,Q86837400,Karl Hedberg
Q2740012,Stefan Löfven,spouse,Q18137449,Ulla Löfven
Q28653936,Johan Lind,father,Q24681310,Gösta Lind
Q297821,Lena Adelsohn Liljeroth,spouse,Q3431988,Ulf Adelsohn
Q3141607,Thomas Bodström,father,Q4098206,Lennart Bodström
Q3141607,Thomas Bodström,sibling,Q4939750,Cecilia Bodström
Q320842,Pär Nuder,spouse,Q4941838,Ingrid Carlberg
Q3358782,Barbro Holmberg,child,Q2320780,Elin Nordegren
Q3358782,Barbro Holmberg,spouse,Q6014415,Thomas Nordegren
Q3369258,Ylva Johansson,spouse,Q5388933,Erik Åsbrink
Q3369258,Ylva Johansson,spouse,Q5786495,Bo Hammar
Q3372917,Mikael Damberg,father,Q5616336,Nils-Gösta Damberg
Q3375050,Anders Ygeman,father,Q6249425,Ingvar Ygeman
Q3430022,Margareta Winberg,spouse,Q6198714,Jörn Svensson
Q3431988,Ulf Adelsohn,spouse,Q297821,Lena Adelsohn Liljeroth
Q3504785,Sven Otto Littorin,sibling,Q5960313,Sverker Littorin
Q3544279,Karin Enström,sibling,Q6146756,Henrik Landerholm
Q3562306,Anna-Karin Hatt,child,Q67515665,Ida Alterå
Q3562306,Anna-Karin Hatt,spouse,Q5552524,Ola Alterå
Q3562306,Anna-Karin Hatt,spouse,Q5793226,Greger Hatt
Q3672886,Nalin Pekgul,sibling,Q5564563,Kurdo Baksi
Q3674337,Gulan Avci,father,Q97429500,Ziya Avci
Q37016346,Ingegerd Westlander,spouse,Q85174869,"Carl-Olof ""Olle"" Westlander"
Q38774401,Anna-Karin Lundin,spouse,Q5912923,Olof Kleberg
Q4126210,Sten Heckscher,father,Q1554742,Gunnar Heckscher
Q4126210,Sten Heckscher,sibling,Q4953069,Eva Heckscher
Q4126210,Sten Heckscher,sibling,Q5795026,Einar Heckscher
Q4126210,Sten Heckscher,sibling,Q5795047,Ivar Heckscher
Q4356302,Birgitta Dahl,child,Q4958639,Anna Kettner
Q439393,Annie Lööf,father,Q617073,Hans-Göran Johansson
Q444747,Maria Wetterstrand,spouse,Q2366466,Ville Niinistö
Q45068,Carl XVI Gustaf of Sweden,child,Q156390,"Victoria, Crown Princess of Sweden"
Q45068,Carl XVI Gustaf of Sweden,child,Q212035,"Princess Madeleine, Duchess of Hälsingland and Gästrikland"
Q45068,Carl XVI Gustaf of Sweden,child,Q214704,"Prince Carl Philip, Duke of Värmland"
Q45068,Carl XVI Gustaf of Sweden,father,Q347374,"Prince Gustaf Adolf, Duke of Västerbotten"
Q45068,Carl XVI Gustaf of Sweden,godparent,Q115477,Louise Mountbatten
Q45068,Carl XVI Gustaf of Sweden,godparent,Q151312,Frederick IX of Denmark
Q45068,Carl XVI Gustaf of Sweden,godparent,Q154912,Olav V of Norway
Q45068,Carl XVI Gustaf of Sweden,godparent,Q154946,Juliana of the Netherlands
Q45068,Carl XVI Gustaf of Sweden,godparent,Q163010,Queen Ingrid of Denmark
Q45068,Carl XVI Gustaf of Sweden,godparent,Q212163,Folke Bernadotte
Q45068,Carl XVI Gustaf of Sweden,godparent,Q4938768,Countess Maria Bernadotte af Wisborg
Q45068,Carl XVI Gustaf of Sweden,godparent,Q52878,Gustaf VI Adolf of Sweden
Q45068,Carl XVI Gustaf of Sweden,godparent,Q52890,Gustaf V of Sweden
Q45068,Carl XVI Gustaf of Sweden,godparent,Q72834,"Friedrich Josias, Prince of Saxe-Coburg and Gotha"
Q45068,Carl XVI Gustaf of Sweden,mother,Q57626,Princess Sibylla of Saxe-Coburg and Gotha
Q45068,Carl XVI Gustaf of Sweden,relative,Q102139,Margrethe II of Denmark
Q45068,Carl XVI Gustaf of Sweden,sibling,Q2024169,"Princess Désirée, Baroness Silfverschiöld"
Q45068,Carl XVI Gustaf of Sweden,sibling,Q2266804,"Princess Margaretha, Mrs. Ambler"
Q45068,Carl XVI Gustaf of Sweden,sibling,Q2268637,"Princess Christina, Mrs. Magnuson"
Q45068,Carl XVI Gustaf of Sweden,sibling,Q232695,Princess Birgitta of Sweden
Q45068,Carl XVI Gustaf of Sweden,spouse,Q152308,Queen Silvia of Sweden
Q4588714,Erik Ullenhag,father,Q6219347,Jörgen Ullenhag
Q460539,Cecilia Wikström,spouse,Q6340136,Jan-Erik Wikström
Q4724776,Ali Esbati,partner,Q14552524,Marte Michelet
Q4725739,Alice Bah Kuhnke,spouse,Q5564082,Johannes Bah Kuhnke
Q4725739,Alice Bah Kuhnke,spouse,Q5889475,Henrik Johnsson
Q4753937,Anders Thornberg,sibling,Q56301590,Per Thornberg
Q4767161,Anna Kinberg Batra,father,Q19374703,Johan S. Kinberg
Q4767161,Anna Kinberg Batra,spouse,Q4568100,David Batra
