position,title
Q10430179,Deputy Minister for Social Affairs
Q10430171,Deputy Minister of Finance
Q96336792,Justice of the Supreme Court
Q63452629,Chief of the Security Service
Q10448681,Commander of the Air Force
Q10418210,Chief of Army
Q10577432,Chief of Navy
Q98951225,Chief of the Military Intelligence and Security Service
Q63452687,National Police Commissioner
Q1774881,Parliamentary Ombudsman
Q81709173,governor of Blekinge County
Q81720231,governor of Dalarna County
Q59784373,governor of Gotland County
Q84545977,governor of Gävleborg County
Q84567822,governor of Halland County
Q84550204,governor of Jämtland County
Q84570006,governor of Jönköping County
Q81716470,governor of Kalmar County
Q81718041,governor of Kronoberg County
Q6621850,governor of Norrbotten County
Q84546626,governor of Skåne County
Q84564130,governor of Stockholm County
Q84551353,governor of Södermanland County
Q17538712,governor of Uppsala County
Q84600909,governor of Värmland County
Q81721872,governor of Västerbotten County
Q84565740,governor of Västernorrland County
Q84549206,governor of Västmanland County
Q84689156,governor of Västra Götaland county
Q84547145,governor of Örebro County
Q6621890,governor of Östergötland County
Q73066150,ambassador to Argentina
Q108388336,ambassador to Austria
Q110936975,ambassador to Brazil
Q40338294,ambassador to Canada
Q110310880,ambassador to the Democratic Republic of Congo
Q107060075,ambassador to Ethiopia
Q28058288,ambassador to France
Q110940561,ambassador to Germany
Q66762496,ambassador to Hungary
Q110937951,ambassador to Iceland
Q84762496,ambassador to India
Q107428320,ambassador to Iraq
Q110940554,ambassador to Italy
Q107060084,ambassador to Luxembourg
Q84762497,ambassador to Myanmar
Q84762498,ambassador to Nepal
Q30544158,ambassador to North Korea
Q107060060,ambassador to Pakistan
Q30090171,ambassador to the People's Republic of China
Q66760763,ambassador to Poland
Q106439398,ambassador to Portugal
Q68584712,ambassador to the Russian Federation
Q110721890,ambassador to Rwanda
Q110724975,ambassador to Saudi Arabia
Q110940011,ambassador to South Africa
Q84762494,ambassador to Sri Lanka
Q110310874,ambassador to Uganda
Q92102710,ambassador to the United Kingdom
Q57193451,ambassador to the United States of America
Q30158507,ambassador to Uruguay
