pageid,title
104743,Carl XVI Gustaf
1515433,Ulrica Messing
3217832,Peter Hultqvist
3291482,Beatrice Ask
7246105,Jan Björklund
7349705,Maria Larsson
7374497,Urban Ahlin
7374527,Berit Högman
7374589,Håkan Juholt
7374735,Anders Ygeman
10424825,Per Bill
11548638,Karl Engelbrektson
12240776,Matilda Ernkrans
12398885,Andreas Norlén
18748706,Dag Hartelius
19701375,Lena Hallengren
20305928,Anneli Hulthén
21889455,Anders Flanking
25069623,Ardalan Shekarabi
25515598,Stefan Ingves
29632085,Mikael Damberg
30336095,Sven-Erik Österberg
37461357,Anders Thornberg
37688566,Karl-Petter Thorwaldsson
38291018,Maria Arnholm
40005289,Tomas Eneroth
41178429,Magdalena Andersson
44012348,Helene Hellmark Knutsson
44023509,Morgan Johansson
44029730,Annika Strandhäll
44722579,Micael Bydén
50661306,Ann Linde
51598902,Anna Ekström
52818524,Göran Enander
55993506,Karin Olofsdotter (diplomat)
58665444,Eric M. Runesson
59678954,Anders Eka
59734040,Hans Dahlgren
60089851,Lena Hallin
60926593,Johan Danielsson
61702698,Carl-Johan Edström
61743514,Eva Nordmark
61743875,Anna Hallberg
62596712,Ewa Skoog Haslum
65140543,Mikaela Kumlin Granit
65141185,Helena Sångeland
66826072,Anna-Caren Sätherberg
68253202,Malena Mard
69358955,Johanna Teague
69399682,Lina Axelsson Kihlblom
69399727,Jeanette Gustafsdotter
69399835,Ida Karkiainen
69400058,Max Elger
69400506,Khashayar Farmanbar
